Potenza Elettrica;Potenza Termica
3185.8059375;1294.4035
3079.2459375;1251.663
2977.4487890625;1253.43
2961.1287890625;1297.1395
2901.6459375;1274.0545
3046.5687890625;1284.4665
3101.3259375;1250.8365
2999.5287890625;1236.615
3003.4059375;1232.492
3710.9698828125;1218.508
3799.2459375;1214.499
3756.12703125;1236.8525
3730.1259375;1251.131
3920.28703125;1248.9935
4085.40703125;1223.2865
4164.12703125;1203.2605
3814.68703125;1185.4385
3616.4912109375;1195.1855
4118.6736328125;1170.875
4319.3733984375;1108.992
3889.6041796875;1074.8965
3483.48703125;1061.834
3534.36703125;1040.4875
3448.8830859375;1008.9095
3404.76703125;1239.636
3366.3298828125;1277.3985
3362.4830859375;1244.7185
3280.92703125;1259.8805
3236.76703125;1279.707
3155.0859375;1338.17
3100.44703125;1111.367
3044.7298828125;1099.739
2992.8459375;1118.0265
3879.00703125;1119.4895
4081.6041796875;1037.723
4175.6841796875;1022.6275
4055.728125;1049.066
4240.9641796875;1052.6475
4299.568125;1061.416
4299.5241796875;1011.5315
3979.8441796875;1060.6085
3735.088125;1051.5645
3496.8830859375;1034.3505
3759.00703125;1039.908
3799.408125;1044.449
3672.60703125;1051.1465
3585.2030859375;1068.807
3622.68703125;1041.086
3351.00703125;1066.907
3253.08703125;1056.8275
3293.40703125;1059.6395
3362.52703125;1069.168
3270.2859375;1028.489
3186.84703125;1061.549
3119.5659375;1065.273
3102.36703125;1056.457
3097.4859375;1085.8975
3711.00703125;1087.541
3878.0841796875;1089.783
3967.32703125;1044.7815
3993.328125;1088.3485
4249.6041796875;1089.6025
3974.0841796875;1082.3065
3871.408125;1057.3785
3810.84703125;1062.4135
3698.5641796875;1079.8365
3839.6841796875;1104.0235
4045.168125;1124.6385
4098.8030859375;1292.2185
3982.768125;1354.985
3856.9641796875;1360.3525
3634.20703125;1372.4175
3240.5259375;1382.915
3231.00703125;1399.7205
3186.84703125;1479.91
3037.9659375;1378.4215
3069.6898828125;1147.0585
3013.0430859375;1143.2015
3109.0498828125;1158.658
3033.1659375;1161.2135
3149.40703125;1217.102
3709.08703125;1252.214
3907.80703125;1232.9385
4023.9230859375;1232.967
4072.048125;1248.1955
3908.76703125;1284.267
